Song Title,Primary Artist,Album/Single/EP,Apple Music URL,Artwork,Country-Restricted (Check if unavailable in certain countries)
2 Chains,G Herbo,25,https://geo.music.apple.com/ca/album/2-chains/1573465649?i=1573465899&app=music&at=11lt62&ct=tracklink,2021-07-11 00.01.38.jpg (https://dl.airtable.com/.attachments/8cefeafc62f63d1542a7247b98a33a1a/507aebdb/2021-07-1100.01.38.jpg),
Cold World,G Herbo,25,https://geo.music.apple.com/ca/album/cold-world/1573472036?i=1573472659&app=music&at=11lt62&ct=tracklink,2021-07-11 00.01.43.jpg (https://dl.airtable.com/.attachments/a03338c2a45832c66b175e2226b60eb2/a67b6d6c/2021-07-1100.01.43.jpg),
Demands,G Herbo,25,https://geo.music.apple.com/ca/album/demands/1573472036?i=1573473121&app=music&at=11lt62&ct=tracklink,2021-07-11 00.01.46.jpg (https://dl.airtable.com/.attachments/80e06361438b9e1f8ebe47e44c0bfb4b/1f4de69d/2021-07-1100.01.46.jpg),
Doughboy,G Herbo,25,https://geo.music.apple.com/ca/album/doughboy/1573472036?i=1573473115&app=music&at=11lt62&ct=tracklink,2021-07-11 00.01.51.jpg (https://dl.airtable.com/.attachments/779873441229ea50b75b9ef27c7c7f15/5d62ec8a/2021-07-1100.01.51.jpg),
Drill (feat. Rowdy Rebel),G Herbo,25,https://geo.music.apple.com/ca/album/drill-feat-rowdy-rebel/1573465649?i=1573465902&app=music&at=11lt62&ct=tracklink,2021-07-11 00.02.03.jpg (https://dl.airtable.com/.attachments/52f03d155b4b2e34d8191778ab1c2e82/eb886c6b/2021-07-1100.02.03.jpg),
Loyalty,G Herbo,25,https://geo.music.apple.com/ca/album/loyalty/1573472036?i=1573473279&app=music&at=11lt62&ct=tracklink,2021-07-11 00.02.08.jpg (https://dl.airtable.com/.attachments/ad38d07ae3d093b79f4dec64e907d28e/ade9b80a/2021-07-1100.02.08.jpg),
Pray 4 My Enemies,G Herbo,25,https://geo.music.apple.com/ca/album/pray-4-my-enemies/1573465649?i=1573465924&app=music&at=11lt62&ct=tracklink,2021-07-11 00.02.13.jpg (https://dl.airtable.com/.attachments/431d32f07bac99287ea62d24e06490ea/f1b040ad/2021-07-1100.02.13.jpg),
Trenches Know My Name,G Herbo,25,https://geo.music.apple.com/ca/album/trenches-know-my-name/1573465649?i=1573465911&app=music&at=11lt62&ct=tracklink,2021-07-11 00.02.21.jpg (https://dl.airtable.com/.attachments/bf0e5df2aa27b662ae60e6f5805e6241/3b7dd227/2021-07-1100.02.21.jpg),
Turning 25,G Herbo,25,https://geo.music.apple.com/ca/album/turning-25/1573465649?i=1573466137&app=music&at=11lt62&ct=tracklink,2021-07-11 00.02.26.jpg (https://dl.airtable.com/.attachments/939c4e28eddf5f113c2f08c10b071ab2/c1c58122/2021-07-1100.02.26.jpg),
Whole Hearts,G Herbo,25,https://geo.music.apple.com/ca/album/whole-hearts/1573472036?i=1573472665&app=music&at=11lt62&ct=tracklink,2021-07-11 00.02.35.jpg (https://dl.airtable.com/.attachments/2f8bcec66effa27df2388edd651c9121/29c5f514/2021-07-1100.02.35.jpg),
Footprints on the Moon,Gabby Barrett,Goldmine,https://geo.music.apple.com/ca/album/footprints-on-the-moon/1510409258?i=1510409262&app=music&at=11lt62&ct=tracklink,2021-07-11 20.52.18.jpg (https://dl.airtable.com/.attachments/b3f61d8774f1fa35c250fa51e88d2f96/ea957710/2021-07-1120.52.18.jpg),
Got Me (feat. Shane & Shane),Gabby Barrett,Goldmine,https://geo.music.apple.com/ca/album/got-me-feat-shane-shane/1510409258?i=1510409283&app=music&at=11lt62&ct=tracklink,2021-07-11 20.52.22.jpg (https://dl.airtable.com/.attachments/a8ba803abf4774553b592606fd1ef78e/f4095442/2021-07-1120.52.22.jpg),
Hall of Fame,Gabby Barrett,Goldmine,https://geo.music.apple.com/ca/album/hall-of-fame/1510409258?i=1510409281&app=music&at=11lt62&ct=tracklink,2021-07-11 20.52.25.jpg (https://dl.airtable.com/.attachments/7df7d295c5d0720dd0ab2d45ad557579/55b096ef/2021-07-1120.52.25.jpg),
I Hope,Gabby Barrett,Goldmine,https://geo.music.apple.com/ca/album/i-hope/1510409258?i=1510409259&app=music&at=11lt62&ct=tracklink,2021-07-11 20.52.29.jpg (https://dl.airtable.com/.attachments/2839bfbdd06afb0da33c5dcc86884d37/9ed54904/2021-07-1120.52.29.jpg),
I Hope (feat. Charlie Puth),Gabby Barrett,Goldmine,https://geo.music.apple.com/ca/album/i-hope-feat-charlie-puth/1510409258?i=1510409470&app=music&at=11lt62&ct=tracklink,2021-07-11 20.52.32.jpg (https://dl.airtable.com/.attachments/c9ea94a44839d410e6f7153bda27643c/0d5abdf9/2021-07-1120.52.32.jpg),
Jesus & My Mama,Gabby Barrett,Goldmine,https://geo.music.apple.com/ca/album/jesus-my-mama/1510409258?i=1510409279&app=music&at=11lt62&ct=tracklink,2021-07-11 20.52.35.jpg (https://dl.airtable.com/.attachments/870edd1b4abed2a633781a01c6ec5fc5/c963db04/2021-07-1120.52.35.jpg),
Rose Needs a Jack,Gabby Barrett,Goldmine,https://geo.music.apple.com/ca/album/rose-needs-a-jack/1510409258?i=1510409466&app=music&at=11lt62&ct=tracklink,2021-07-11 20.52.39.jpg (https://dl.airtable.com/.attachments/cd4da58e81f036b33a2b9f818aa2940a/8ef02fb9/2021-07-1120.52.39.jpg),
Strong,Gabby Barrett,Goldmine,https://geo.music.apple.com/ca/album/strong/1510409258?i=1510409468&app=music&at=11lt62&ct=tracklink,2021-07-11 20.52.50.jpg (https://dl.airtable.com/.attachments/7128e8246282f60218de404187deb6ef/80d7a501/2021-07-1120.52.50.jpg),
Thank God,Gabby Barrett,Goldmine,https://geo.music.apple.com/ca/album/thank-god/1510409258?i=1510409260&app=music&at=11lt62&ct=tracklink,2021-07-11 22.05.24.jpg (https://dl.airtable.com/.attachments/2ca9e0dfcf9c0a59fcfa2d3f152e31ad/201ed451/2021-07-1122.05.24.jpg),
The Good Ones,Gabby Barrett,Goldmine,https://geo.music.apple.com/ca/album/the-good-ones/1510409258?i=1510409277&app=music&at=11lt62&ct=tracklink,2021-07-11 20.52.55.jpg (https://dl.airtable.com/.attachments/ebd5044eaf71a9d588a81ea2616b5744/a8588f64/2021-07-1120.52.55.jpg),
Write It on My Heart,Gabby Barrett,Goldmine,https://geo.music.apple.com/ca/album/write-it-on-my-heart/1510409258?i=1510409261&app=music&at=11lt62&ct=tracklink,2021-07-11 20.53.01.jpg (https://dl.airtable.com/.attachments/e44ccc0e69388c9ffecec0b7833668ea/a3cde15c/2021-07-1120.53.01.jpg),
You're the Only Reason,Gabby Barrett,Goldmine,https://geo.music.apple.com/ca/album/youre-the-only-reason/1510409258?i=1510409264&app=music&at=11lt62&ct=tracklink,2021-07-11 20.53.06.jpg (https://dl.airtable.com/.attachments/396a10dd41fdecff07e7d294286c555e/873c59da/2021-07-1120.53.06.jpg),
Run Of The Mill (2020 Mix),George Harrison,All Things Must Pass (50th Anniversary),https://geo.music.apple.com/ca/album/run-of-the-mill-2020-mix/1570746863?i=1570747857&app=music&at=11lt62&ct=tracklink,,
Bad To the Bone,George Thorogood & The Destroyers,The Baddest of George Thorogood and the Destroyers,https://geo.music.apple.com/ca/album/bad-to-the-bone/1425323723?i=1425323724&app=music&at=11lt62&ct=tracklink,,
"Academic Festival Overture, Op. 80",Gewandhausorchester Leipzig & Riccardo Chailly,Brahms: The Symphonies,https://geo.music.apple.com/ca/album/academic-festival-overture-op-80/1452265782?i=1452265963&app=music&at=11lt62&ct=tracklink,,
"Fantasias (7 Piano Pieces), Op. 116: No. 4, Intermezzo in E Major (Arr. Paul Klengel)",Gewandhausorchester Leipzig & Riccardo Chailly,Brahms: The Symphonies,https://geo.music.apple.com/ca/album/fantasias-7-piano-pieces-op-116-no-4-intermezzo-in/1452265782?i=1452265947&app=music&at=11lt62&ct=tracklink,,
Hungarian Dance No. 3 in F Major,Gewandhausorchester Leipzig & Riccardo Chailly,Brahms: The Symphonies,https://geo.music.apple.com/ca/album/hungarian-dance-no-3-in-f-major/1452265782?i=1452265970&app=music&at=11lt62&ct=tracklink,,
Hungarian Dance No. 10 in F Major,Gewandhausorchester Leipzig & Riccardo Chailly,Brahms: The Symphonies,https://geo.music.apple.com/ca/album/hungarian-dance-no-10-in-f-major/1452265782?i=1452266007&app=music&at=11lt62&ct=tracklink,,
"Intermezzi, Op. 117: No. 1, Intermezzo in E-Flat Major (Arr. Paul Klengel)",Gewandhausorchester Leipzig & Riccardo Chailly,Brahms: The Symphonies,https://geo.music.apple.com/ca/album/intermezzi-op-117-no-1-intermezzo-in-e-flat-major-arr/1452265782?i=1452265950&app=music&at=11lt62&ct=tracklink,,
"Liebeslieder-Walzer, Op. 52: No. 2 (Orchestral Version)",Gewandhausorchester Leipzig & Riccardo Chailly,Brahms: The Symphonies,https://geo.music.apple.com/ca/album/liebeslieder-walzer-op-52-no-2-orchestral-version/1452265782?i=1452267126&app=music&at=11lt62&ct=tracklink,,
"Liebeslieder-Walzer, Op. 52: No. 4 (Orchestral Version)",Gewandhausorchester Leipzig & Riccardo Chailly,Brahms: The Symphonies,https://geo.music.apple.com/ca/album/liebeslieder-walzer-op-52-no-4-orchestral-version/1452265782?i=1452267273&app=music&at=11lt62&ct=tracklink,,
"Liebeslieder-Walzer, Op. 52: No. 5 (Orchestral Version)",Gewandhausorchester Leipzig & Riccardo Chailly,Brahms: The Symphonies,https://geo.music.apple.com/ca/album/liebeslieder-walzer-op-52-no-5-orchestral-version/1452265782?i=1452267139&app=music&at=11lt62&ct=tracklink,,
"Liebeslieder-Walzer, Op. 52: No. 6 (Orchestral Version)",Gewandhausorchester Leipzig & Riccardo Chailly,Brahms: The Symphonies,https://geo.music.apple.com/ca/album/liebeslieder-walzer-op-52-no-6-orchestral-version/1452265782?i=1452267190&app=music&at=11lt62&ct=tracklink,,
"Liebeslieder-Walzer, Op. 52: No. 8 (Orchestral Version)",Gewandhausorchester Leipzig & Riccardo Chailly,Brahms: The Symphonies,https://geo.music.apple.com/ca/album/liebeslieder-walzer-op-52-no-8-orchestral-version/1452265782?i=1452267201&app=music&at=11lt62&ct=tracklink,,
"Liebeslieder-Walzer, Op. 52: No. 9 (Orchestral Version)",Gewandhausorchester Leipzig & Riccardo Chailly,Brahms: The Symphonies,https://geo.music.apple.com/ca/album/liebeslieder-walzer-op-52-no-9-orchestral-version/1452265782?i=1452267281&app=music&at=11lt62&ct=tracklink,,
