Song Title,Primary Artist,Album/Single/EP,Apple Music URL,Artwork,Country-Restricted (Check if unavailable in certain countries)
Tick Tock,Joji,Nectar,https://geo.music.apple.com/ca/album/tick-tock/1506574436?i=1506574439&app=music&at=11lt62&ct=tracklink,2021-07-11 23.15.06.jpg (https://dl.airtable.com/.attachments/042c213d1ff7c1289732a55ed03fed1a/e532c1cc/2021-07-1123.15.06.jpg),
Upgrade,Joji,Nectar,https://geo.music.apple.com/ca/album/upgrade/1506574436?i=1506574441&app=music&at=11lt62&ct=tracklink,2021-07-11 23.15.02.jpg (https://dl.airtable.com/.attachments/89a44e79239304efd360a2e4f0c0a3f4/26a45938/2021-07-1123.15.02.jpg),
Your Man,Joji,Nectar,https://geo.music.apple.com/ca/album/your-man/1506574436?i=1506574824&app=music&at=11lt62&ct=tracklink,2021-07-11 23.14.57.jpg (https://dl.airtable.com/.attachments/ed2567a51d6bc75c9b06fb53423111e7/ecf81950/2021-07-1123.14.57.jpg),
High Hopes (feat. Omar Apollo),"Joji,Omar Apollo",Nectar,https://geo.music.apple.com/ca/album/high-hopes-feat-omar-apollo/1506574436?i=1506574809&app=music&at=11lt62&ct=tracklink,2021-07-11 23.14.53.jpg (https://dl.airtable.com/.attachments/baea1b6266ef2349583708e0e5f6ae00/bbd85397/2021-07-1123.14.53.jpg),
Afterthought,Joji & BENEE,Nectar,https://geo.music.apple.com/ca/album/afterthought/1506574436?i=1506574815&app=music&at=11lt62&ct=tracklink,2021-07-11 23.14.49.jpg (https://dl.airtable.com/.attachments/04800f551429651bcb10739c6e6bea6c/8c4e7948/2021-07-1123.14.49.jpg),
Daylight,Joji & Diplo,Nectar,https://geo.music.apple.com/ca/album/daylight/1506574436?i=1506574440&app=music&at=11lt62&ct=tracklink,2021-07-11 23.14.44.jpg (https://dl.airtable.com/.attachments/0f852826d553cf9b2ef8af68e13a0bc1/61153532/2021-07-1123.14.44.jpg),
Creature of Habit,JoJo,Creature of Habit - Single,https://geo.music.apple.com/ca/album/creature-of-habit/1566150553?i=1566150554&app=music&at=11lt62&ct=tracklink,2021-07-11 23.14.20.jpg (https://dl.airtable.com/.attachments/e36e0fd6b1545b407e3711034dadbc2d/90d4455c/2021-07-1123.14.20.jpg),
Comeback (feat. Tory Lanez & 30 Roc),JoJo,good to know,https://geo.music.apple.com/ca/album/comeback-feat-tory-lanez-30-roc/1500962957?i=1500962969&app=music&at=11lt62&ct=tracklink,2021-07-11 23.13.58.jpg (https://dl.airtable.com/.attachments/b9d78c931c4308bb28063fa551f481bc/988ea8c8/2021-07-1123.13.58.jpg),
Don't Talk Me Down,JoJo,good to know,https://geo.music.apple.com/ca/album/dont-talk-me-down/1500962957?i=1500962970&app=music&at=11lt62&ct=tracklink,2021-07-11 23.13.52.jpg (https://dl.airtable.com/.attachments/5df6cdf518e1d37f9f984af9ed926213/f13c2234/2021-07-1123.13.52.jpg),
Gold,JoJo,good to know,https://geo.music.apple.com/ca/album/gold/1500962957?i=1500962960&app=music&at=11lt62&ct=tracklink,2021-07-11 23.13.43.jpg (https://dl.airtable.com/.attachments/7502d010c7a7ed0332fae5a013ccff83/a1703c64/2021-07-1123.13.43.jpg),
Lonely Hearts,JoJo,good to know,https://geo.music.apple.com/ca/album/lonely-hearts/1500962957?i=1500962967&app=music&at=11lt62&ct=tracklink,2021-07-11 23.13.39.jpg (https://dl.airtable.com/.attachments/f0d72cc25abfc220b254c411d38d39a0/29a98686/2021-07-1123.13.39.jpg),
Man,JoJo,good to know,https://geo.music.apple.com/ca/album/man/1500962957?i=1500962961&app=music&at=11lt62&ct=tracklink,2021-07-11 23.13.35.jpg (https://dl.airtable.com/.attachments/10b5b4929c1b6c01d3dcf48faadfbe29/a7575dff/2021-07-1123.13.35.jpg),
Pedialyte,JoJo,good to know,https://geo.music.apple.com/ca/album/pedialyte/1500962957?i=1500962959&app=music&at=11lt62&ct=tracklink,2021-07-11 23.13.31.jpg (https://dl.airtable.com/.attachments/dadd4b6d54596eab2ef1ee0958a600ae/76529473/2021-07-1123.13.31.jpg),
Small Things,JoJo,good to know,https://geo.music.apple.com/ca/album/small-things/1500962957?i=1500962966&app=music&at=11lt62&ct=tracklink,2021-07-11 23.13.27.jpg (https://dl.airtable.com/.attachments/ce36fbf38e492c96c1b45f2d65784912/fd7ebf3f/2021-07-1123.13.27.jpg),
So Bad,JoJo,good to know,https://geo.music.apple.com/ca/album/so-bad/1500962957?i=1500962958&app=music&at=11lt62&ct=tracklink,2021-07-11 23.13.21.jpg (https://dl.airtable.com/.attachments/ec16028432bf240a63e67de9ba95916d/22fe47a1/2021-07-1123.13.21.jpg),
Think About You,JoJo,good to know,https://geo.music.apple.com/ca/album/think-about-you/1500962957?i=1500962968&app=music&at=11lt62&ct=tracklink,2021-07-11 23.13.17.jpg (https://dl.airtable.com/.attachments/434fbaa8d32418b618f7d8b1afecf61b/aee59cf5/2021-07-1123.13.17.jpg),
ADULTHOOD (feat. Hot 8 Brass Band),Jon Batiste,WE ARE,https://geo.music.apple.com/ca/album/adulthood-feat-hot-8-brass-band/1548291743?i=1548291914&app=music&at=11lt62&ct=tracklink,2021-07-11 23.12.47.jpg (https://dl.airtable.com/.attachments/285a465bd5e0b0cf10d48d02f68360e4/be90f2fd/2021-07-1123.12.47.jpg),
BOY HOOD (feat. PJ Morton & Trombone Shorty),Jon Batiste,WE ARE,https://geo.music.apple.com/ca/album/boy-hood-feat-pj-morton-trombone-shorty/1548291743?i=1548291910&app=music&at=11lt62&ct=tracklink,2021-07-11 23.12.43.jpg (https://dl.airtable.com/.attachments/2f295a6f295ddbafbfd3891d9dfaad83/5f8ccc2d/2021-07-1123.12.43.jpg),
CRY,Jon Batiste,WE ARE,https://geo.music.apple.com/ca/album/cry/1548291743?i=1548291753&app=music&at=11lt62&ct=tracklink,2021-07-11 23.12.39.jpg (https://dl.airtable.com/.attachments/9cfe52174e7ba2e548080bb39af0aa13/1f49b914/2021-07-1123.12.39.jpg),
FREEDOM,Jon Batiste,WE ARE,https://geo.music.apple.com/ca/album/freedom/1548291743?i=1548291919&app=music&at=11lt62&ct=tracklink,2021-07-11 23.12.35.jpg (https://dl.airtable.com/.attachments/7dd799013f5d01fa67518e7bc8a9a678/b58f3d15/2021-07-1123.12.35.jpg),
I NEED YOU,Jon Batiste,WE ARE,https://geo.music.apple.com/ca/album/i-need-you/1548291743?i=1548291906&app=music&at=11lt62&ct=tracklink,2021-07-11 23.12.29.jpg (https://dl.airtable.com/.attachments/e96aa54b6adb181b32d9ec648f08af30/715d69b6/2021-07-1123.12.29.jpg),
MAVIS,Jon Batiste,WE ARE,https://geo.music.apple.com/ca/album/mavis/1548291743?i=1548291916&app=music&at=11lt62&ct=tracklink,2021-07-11 23.12.25.jpg (https://dl.airtable.com/.attachments/5a122c2fff7f15d746bd855fb8794625/723df1e6/2021-07-1123.12.25.jpg),
SHOW ME THE WAY (feat. Zadie Smith),Jon Batiste,WE ARE,https://geo.music.apple.com/ca/album/show-me-the-way-feat-zadie-smith/1548291743?i=1548291920&app=music&at=11lt62&ct=tracklink,2021-07-11 23.12.21.jpg (https://dl.airtable.com/.attachments/e02e9f66489d2ed82ea99f272e1a266c/946c7f3e/2021-07-1123.12.21.jpg),
SING,Jon Batiste,WE ARE,https://geo.music.apple.com/ca/album/sing/1548291743?i=1548291921&app=music&at=11lt62&ct=tracklink,2021-07-11 23.12.16.jpg (https://dl.airtable.com/.attachments/5384682bfd572bb1140cf29478f25946/be78b7ea/2021-07-1123.12.16.jpg),
TELL THE TRUTH,Jon Batiste,WE ARE,https://geo.music.apple.com/ca/album/tell-the-truth/1548291743?i=1548291748&app=music&at=11lt62&ct=tracklink,2021-07-11 23.12.07.jpg (https://dl.airtable.com/.attachments/f747eb0d53867c6c323a72634097c215/1e69dc89/2021-07-1123.12.07.jpg),
UNTIL,Jon Batiste,WE ARE,https://geo.music.apple.com/ca/album/until/1548291743?i=1548291927&app=music&at=11lt62&ct=tracklink,2021-07-11 23.12.03.jpg (https://dl.airtable.com/.attachments/8b54a21a3f9a091e533171d664c95791/64b49ccc/2021-07-1123.12.03.jpg),
"WE ARE (feat. St. Augustine High School Marching 100, David Gauthier, Gospel Soul Children Choir, Craig Adams, Braedon Gautier, Brennan Gautier & Autumn Rowe)",Jon Batiste,WE ARE,https://geo.music.apple.com/ca/album/we-are-feat-st-augustine-high-school-marching-100-david/1548291743?i=1548291744&app=music&at=11lt62&ct=tracklink,2021-07-11 23.11.58.jpg (https://dl.airtable.com/.attachments/a16cda2eb6f2a74ed77efb3c251841e5/e1cf4f89/2021-07-1123.11.58.jpg),
WHATCHUTALKINBOUT,Jon Batiste,WE ARE,https://geo.music.apple.com/ca/album/whatchutalkinbout/1548291743?i=1548291908&app=music&at=11lt62&ct=tracklink,2021-07-11 23.11.53.jpg (https://dl.airtable.com/.attachments/58fc25e5ca84731ee85407a0c7a27843/ce85456d/2021-07-1123.11.53.jpg),
Hear Me Say,Jonas Blue & LÉON,Hear Me Say - Single,https://geo.music.apple.com/ca/album/hear-me-say/1567507633?i=1567507655&app=music&at=11lt62&ct=tracklink,,
Mercy,Jonas Brothers,Space Jam : A New Legacy (Original Motion Picture Soundtrack),https://music.apple.com/ca/album/mercy/1571560471?i=1571560846,2021-07-11 20.21.10.jpg (https://dl.airtable.com/.attachments/99d97c5c09eff7e99e4b37ff932173e9/b94ef1d4/2021-07-1120.21.10.jpg),
Remember This,Jonas Brothers,Remember This - Single,https://geo.music.apple.com/ca/album/remember-this/1572293977?i=1572293997&app=music&at=11lt62&ct=tracklink,,
Comeback,Jonas Brothers,Happiness Begins,https://geo.music.apple.com/ca/album/comeback/1461478261?i=1461478949&app=music&at=11lt62&ct=tracklink,2021-07-11 20.18.18.jpg (https://dl.airtable.com/.attachments/b399e28a0a9796e148ff5dd1b56c1572/bbfcf0f8/2021-07-1120.18.18.jpg),
Cool,Jonas Brothers,Happiness Begins,https://geo.music.apple.com/ca/album/cool/1461478261?i=1461478401&app=music&at=11lt62&ct=tracklink,2021-07-11 20.18.22.jpg (https://dl.airtable.com/.attachments/7e6e2f277a2305b64cf9688e0aa00fed/744839d3/2021-07-1120.18.22.jpg),
Don't Throw it Away,Jonas Brothers,Happiness Begins,https://geo.music.apple.com/ca/album/dont-throw-it-away/1461478261?i=1461478564&app=music&at=11lt62&ct=tracklink,2021-07-11 20.18.26.jpg (https://dl.airtable.com/.attachments/58b070eabb7b9e3b557626d4dfc19fcb/5d382c05/2021-07-1120.18.26.jpg),
Every Single Time,Jonas Brothers,Happiness Begins,https://geo.music.apple.com/ca/album/every-single-time/1461478261?i=1461478562&app=music&at=11lt62&ct=tracklink,2021-07-11 20.18.29.jpg (https://dl.airtable.com/.attachments/360964273c9ff4a5cd6077d2db9cda03/023a52e7/2021-07-1120.18.29.jpg),
Happy When I'm Sad,Jonas Brothers,Happiness Begins,https://geo.music.apple.com/ca/album/happy-when-im-sad/1461478261?i=1461478583&app=music&at=11lt62&ct=tracklink,2021-07-11 20.18.32.jpg (https://dl.airtable.com/.attachments/3cda0e88026025907983a73542b12a67/4f06a745/2021-07-1120.18.32.jpg),
Hesitate,Jonas Brothers,Happiness Begins,https://geo.music.apple.com/ca/album/hesitate/1461478261?i=1461478862&app=music&at=11lt62&ct=tracklink,2021-07-11 20.18.36.jpg (https://dl.airtable.com/.attachments/4d6dce59caf01ce0955741247db0eef9/1a48d45b/2021-07-1120.18.36.jpg),
I Believe,Jonas Brothers,Happiness Begins,https://geo.music.apple.com/ca/album/i-believe/1461478261?i=1461478560&app=music&at=11lt62&ct=tracklink,2021-07-11 20.18.39.jpg (https://dl.airtable.com/.attachments/4ace9c9af40f1dd8228a150d40cdbcd5/96b2f7fc/2021-07-1120.18.39.jpg),
Love Her,Jonas Brothers,Happiness Begins,https://geo.music.apple.com/ca/album/love-her/1461478261?i=1461478579&app=music&at=11lt62&ct=tracklink,2021-07-11 20.18.45.jpg (https://dl.airtable.com/.attachments/e5c5f13ca57d4ee1df26bd951ffaa629/24891d50/2021-07-1120.18.45.jpg),
Only Human,Jonas Brothers,Happiness Begins,https://geo.music.apple.com/ca/album/only-human/1461478261?i=1461478402&app=music&at=11lt62&ct=tracklink,2021-07-11 20.18.50.jpg (https://dl.airtable.com/.attachments/aca7bc672ff09f5b1b066728020c540d/9a6fd253/2021-07-1120.18.50.jpg),
Rollercoaster,Jonas Brothers,Happiness Begins,https://geo.music.apple.com/ca/album/rollercoaster/1461478261?i=1461478948&app=music&at=11lt62&ct=tracklink,2021-07-11 20.19.23.jpg (https://dl.airtable.com/.attachments/8b4d68fd78daf276981b2d2b092a3a07/66dd321a/2021-07-1120.19.23.jpg),
Strangers,Jonas Brothers,Happiness Begins,https://geo.music.apple.com/ca/album/strangers/1461478261?i=1461478856&app=music&at=11lt62&ct=tracklink,2021-07-11 20.19.17.jpg (https://dl.airtable.com/.attachments/e8d2fe5fdb98f79c96284785073d4ea3/64910871/2021-07-1120.19.17.jpg),
Sucker,Jonas Brothers,Happiness Begins,https://geo.music.apple.com/ca/album/sucker/1461478261?i=1461478389&app=music&at=11lt62&ct=tracklink,2021-07-11 20.19.12.jpg (https://dl.airtable.com/.attachments/aed918fc7ed8ff644189c033cf8e2bfb/79b16d2b/2021-07-1120.19.12.jpg),
Trust,Jonas Brothers,Happiness Begins,https://geo.music.apple.com/ca/album/trust/1461478261?i=1461478584&app=music&at=11lt62&ct=tracklink,2021-07-11 20.19.07.jpg (https://dl.airtable.com/.attachments/265d3c75eb919273c61fbbbf985e773e/c0070689/2021-07-1120.19.07.jpg),
Used To Be,Jonas Brothers,Happiness Begins,https://geo.music.apple.com/ca/album/used-to-be/1461478261?i=1461478561&app=music&at=11lt62&ct=tracklink,2021-07-11 20.19.02.jpg (https://dl.airtable.com/.attachments/e8c93f1d61bc4519e464119c518103b1/9050a883/2021-07-1120.19.02.jpg),
What a Man Gotta Do,Jonas Brothers,What a Man Gotta Do - Single,https://geo.music.apple.com/ca/album/what-a-man-gotta-do/1494739142?i=1494739484&app=music&at=11lt62&ct=tracklink,2021-07-11 20.20.29.jpg (https://dl.airtable.com/.attachments/b4233361c719eb631cc2493d3e40e296/58edc8d8/2021-07-1120.20.29.jpg),
Need To Not,Jordan Davis,Need To Not - Single,https://geo.music.apple.com/ca/album/need-to-not/1556707706?i=1556708061&app=music&at=11lt62&ct=tracklink,,
Lose You,Jordan Davis,Lose You - Single,https://geo.music.apple.com/ca/album/lose-you/1534920761?i=1534920766&app=music&at=11lt62&ct=tracklink,,
Almost Maybes,Jordan Davis,Jordan Davis - EP,https://geo.music.apple.com/ca/album/almost-maybes/1511068011?i=1511068016&app=music&at=11lt62&ct=tracklink,,
Blow Up Your TV,Jordan Davis,Buy Dirt,https://geo.music.apple.com/ca/album/blow-up-your-tv/1563946209?i=1563946211&app=music&at=11lt62&ct=tracklink,2021-07-11 23.10.50.jpg (https://dl.airtable.com/.attachments/8d796aefa1230271a8e03f0ff5773e2c/b4e6ea3d/2021-07-1123.10.50.jpg),
Buy Dirt (feat. Luke Bryan),Jordan Davis,Buy Dirt,https://geo.music.apple.com/ca/album/buy-dirt-feat-luke-bryan/1563946209?i=1563946213&app=music&at=11lt62&ct=tracklink,2021-07-11 23.10.57.jpg (https://dl.airtable.com/.attachments/f835c81ac5e772a0fb40bb90737a3cd3/e08abeca/2021-07-1123.10.57.jpg),
Drink Had Me,Jordan Davis,Buy Dirt,https://geo.music.apple.com/ca/album/drink-had-me/1563946209?i=1563946221&app=music&at=11lt62&ct=tracklink,2021-07-11 23.10.54.jpg (https://dl.airtable.com/.attachments/c2f9d4014c86d4a6c66e99e69a8659b3/c5acaa6f/2021-07-1123.10.54.jpg),
I Still Smoked,Jordan Davis,Buy Dirt,https://geo.music.apple.com/ca/album/i-still-smoked/1563946209?i=1563946226&app=music&at=11lt62&ct=tracklink,2021-07-11 23.10.46.jpg (https://dl.airtable.com/.attachments/7e3a79fb4f2739a8cc04217c2c0baa81/df1abbf1/2021-07-1123.10.46.jpg),
Trying,Jordan Davis,Buy Dirt,https://geo.music.apple.com/ca/album/trying/1563946209?i=1563946230&app=music&at=11lt62&ct=tracklink,2021-07-11 23.10.41.jpg (https://dl.airtable.com/.attachments/46b64d17d813872b8291d9b87417e89d/ce646aa7/2021-07-1123.10.41.jpg),
Feel Something,Joshua Bassett,Feel Something - Single,https://geo.music.apple.com/ca/album/feel-something/1563728278?i=1563728279&app=music&at=11lt62&ct=tracklink,,
A Little Bit Yours,JP Saxe,A Little Bit Yours - Single,https://geo.music.apple.com/ca/album/a-little-bit-yours/1529360369?i=1529360371&app=music&at=11lt62&ct=tracklink,,
4:30 In Toronto,JP Saxe,Dangerous Levels of Introspection,https://geo.music.apple.com/ca/album/4-30-in-toronto/1565280499?i=1565280500&app=music&at=11lt62&ct=tracklink,2021-07-11 20.23.00.jpg (https://dl.airtable.com/.attachments/f755496f452ee0b98976fc66fdb20a6b/dc7991b2/2021-07-1120.23.00.jpg),
Dangerous Levels of Introspection,JP Saxe,Dangerous Levels of Introspection,https://geo.music.apple.com/ca/album/dangerous-levels-of-introspection/1565280499?i=1565280505&app=music&at=11lt62&ct=tracklink,2021-07-11 20.23.04.jpg (https://dl.airtable.com/.attachments/4670803f0fd04a453f8078e05ff64918/d23c5828/2021-07-1120.23.04.jpg),
For Emilee,JP Saxe,Dangerous Levels of Introspection,https://geo.music.apple.com/ca/album/for-emilee/1565280499?i=1565280509&app=music&at=11lt62&ct=tracklink,2021-07-11 20.23.07.jpg (https://dl.airtable.com/.attachments/fc1d973a1242e8508a5296a9ff458e9e/331bbc26/2021-07-1120.23.07.jpg),
Here's Hopin',JP Saxe,Dangerous Levels of Introspection,https://geo.music.apple.com/ca/album/heres-hopin/1565280499?i=1565280503&app=music&at=11lt62&ct=tracklink,2021-07-11 20.23.10.jpg (https://dl.airtable.com/.attachments/cb5d9e8e20647d0c6eed6e5f4b679392/395f0019/2021-07-1120.23.10.jpg),
I Shouldn't Be Here,JP Saxe,Dangerous Levels of Introspection,https://geo.music.apple.com/ca/album/i-shouldnt-be-here/1565280499?i=1565280504&app=music&at=11lt62&ct=tracklink,2021-07-11 20.23.14.jpg (https://dl.airtable.com/.attachments/1a48079ec96b589d7c4612afca88e9f0/5a7139e3/2021-07-1120.23.14.jpg),
If the World Was Ending (feat. Julia Michaels),"JP Saxe,Julia Michaels",Dangerous Levels of Introspection,https://geo.music.apple.com/ca/album/if-the-world-was-ending-feat-julia-michaels/1565280499?i=1565280506&app=music&at=11lt62&ct=tracklink,2021-07-11 20.23.17.jpg (https://dl.airtable.com/.attachments/3325596620761670dd322ca44968c5fd/4b96b958/2021-07-1120.23.17.jpg),
Like That,JP Saxe,Dangerous Levels of Introspection,https://geo.music.apple.com/ca/album/like-that/1565280499?i=1565280501&app=music&at=11lt62&ct=tracklink,2021-07-11 20.23.29.jpg (https://dl.airtable.com/.attachments/8a6d7242ca9b75f1cb04fd892a0783f2/f4cf3b00/2021-07-1120.23.29.jpg),
Line By Line (feat. Maren Morris),"JP Saxe,Maren Morris",Dangerous Levels of Introspection,https://geo.music.apple.com/ca/album/line-by-line-feat-maren-morris/1565280499?i=1565280510&app=music&at=11lt62&ct=tracklink,2021-07-11 20.23.34.jpg (https://dl.airtable.com/.attachments/c5041f1c30b96777baa0781d60f4448d/c1262fac/2021-07-1120.23.34.jpg),
More of You,JP Saxe,Dangerous Levels of Introspection,https://geo.music.apple.com/ca/album/more-of-you/1565280499?i=1565280502&app=music&at=11lt62&ct=tracklink,2021-07-11 20.23.45.jpg (https://dl.airtable.com/.attachments/4f35c8e8faa3c3b0f84e45ca5720b353/d153bd21/2021-07-1120.23.45.jpg),
Sing Myself To Sleep,JP Saxe,Dangerous Levels of Introspection,https://geo.music.apple.com/ca/album/sing-myself-to-sleep/1565280499?i=1565280512&app=music&at=11lt62&ct=tracklink,2021-07-11 20.23.54.jpg (https://dl.airtable.com/.attachments/9a725941bfcb4acc0670a42b59faed61/ce5aa7b9/2021-07-1120.23.54.jpg),
Tension,JP Saxe,Dangerous Levels of Introspection,https://geo.music.apple.com/ca/album/tension/1565280499?i=1565280507&app=music&at=11lt62&ct=tracklink,2021-07-11 20.23.59.jpg (https://dl.airtable.com/.attachments/224bd11c8cdd6aa5d67be1c1f0efec06/61a6148f/2021-07-1120.23.59.jpg),
What Keeps Me From It,JP Saxe,Dangerous Levels of Introspection,https://geo.music.apple.com/ca/album/what-keeps-me-from-it/1565280499?i=1565280508&app=music&at=11lt62&ct=tracklink,2021-07-11 20.24.04.jpg (https://dl.airtable.com/.attachments/cb8e51508f2a4cb6f701455f99045c77/98908013/2021-07-1120.24.04.jpg),
If the World Was Ending (feat. Julia Michaels),JP Saxe & Julia Michaels,If the World Was Ending (feat. Julia Michaels) - Single,https://geo.music.apple.com/ca/album/if-the-world-was-ending-feat-julia-michaels/1482468336?i=1482468337&app=music&at=11lt62&ct=tracklink,,
Issues,Julia Michaels,Issues - Single,https://geo.music.apple.com/ca/album/issues/1445045799?i=1445046104&app=music&at=11lt62&ct=tracklink,,
All Your Exes,Julia Michaels,Not In Chronological Order,https://geo.music.apple.com/ca/album/all-your-exes/1561816271?i=1561816275&app=music&at=11lt62&ct=tracklink,2021-07-11 20.24.55.jpg (https://dl.airtable.com/.attachments/b7c307c6cad23a0f818f2583f474aaa5/8c1dc5b0/2021-07-1120.24.55.jpg),
History,Julia Michaels,Not In Chronological Order,https://geo.music.apple.com/ca/album/history/1561816271?i=1561816292&app=music&at=11lt62&ct=tracklink,2021-07-11 20.24.59.jpg (https://dl.airtable.com/.attachments/2b1610a3faf6606fd60294a8aeb06675/b333a7c3/2021-07-1120.24.59.jpg),
Lie Like This,Julia Michaels,Not In Chronological Order,https://geo.music.apple.com/ca/album/lie-like-this/1561816271?i=1561816289&app=music&at=11lt62&ct=tracklink,2021-07-11 20.25.02.jpg (https://dl.airtable.com/.attachments/cf473e7f43b0f85a42d040f699063668/fb67d9ac/2021-07-1120.25.02.jpg),
Little Did I Know,Julia Michaels,Not In Chronological Order,https://geo.music.apple.com/ca/album/little-did-i-know/1561816271?i=1561816280&app=music&at=11lt62&ct=tracklink,2021-07-11 20.25.11.jpg (https://dl.airtable.com/.attachments/04b0e779983e18c013fcc848c9fff7aa/917d1233/2021-07-1120.25.11.jpg),
Love Is Weird,Julia Michaels,Not In Chronological Order,https://geo.music.apple.com/ca/album/love-is-weird/1561816271?i=1561816276&app=music&at=11lt62&ct=tracklink,2021-07-11 20.25.20.jpg (https://dl.airtable.com/.attachments/a8ad4090ef109595074cbabc7786c28a/35027e02/2021-07-1120.25.20.jpg),
Orange Magic,Julia Michaels,Not In Chronological Order,https://geo.music.apple.com/ca/album/orange-magic/1561816271?i=1561816283&app=music&at=11lt62&ct=tracklink,2021-07-11 20.25.24.jpg (https://dl.airtable.com/.attachments/80de85bcdcc92741d3bbf3cc43a68240/074df771/2021-07-1120.25.24.jpg),
Pessimist,Julia Michaels,Not In Chronological Order,https://geo.music.apple.com/ca/album/pessimist/1561816271?i=1561816277&app=music&at=11lt62&ct=tracklink,2021-07-11 20.25.28.jpg (https://dl.airtable.com/.attachments/dabd118576b0c5c02d41226652b70975/6e2547c1/2021-07-1120.25.28.jpg),
That's The Kind Of Woman,Julia Michaels,Not In Chronological Order,https://geo.music.apple.com/ca/album/thats-the-kind-of-woman/1561816271?i=1561816294&app=music&at=11lt62&ct=tracklink,2021-07-11 20.25.34.jpg (https://dl.airtable.com/.attachments/6a35cdd7522452909933e0563ad2994c/feb20e7f/2021-07-1120.25.34.jpg),
Undertone,Julia Michaels,Not In Chronological Order,https://geo.music.apple.com/ca/album/undertone/1561816271?i=1561816293&app=music&at=11lt62&ct=tracklink,2021-07-11 20.25.51.jpg (https://dl.airtable.com/.attachments/6d1a966a6e2f6ea93386d0157e8cbcad/8e84b941/2021-07-1120.25.51.jpg),
Wrapped Around,Julia Michaels,Not In Chronological Order,https://geo.music.apple.com/ca/album/wrapped-around/1561829343?i=1561829837&app=music&at=11lt62&ct=tracklink,2021-07-11 20.26.02.jpg (https://dl.airtable.com/.attachments/83a1848100b9fe9c0dc061a22b23d96e/775b24b8/2021-07-1120.26.02.jpg),
Lifetime,Justin Bieber,Justice (Triple Chucks Deluxe),https://geo.music.apple.com/ca/album/lifetime/1560255066?i=1560255179&app=music&at=11lt62&ct=tracklink,2021-07-11 20.14.36.jpg (https://dl.airtable.com/.attachments/e224584ee1fe6109295e061e08cbf5d9/9ec16d85/2021-07-1120.14.36.jpg),
Holy (feat. Chance the Rapper),Justin Bieber,"Holy (feat. Chance the Rapper) - Single,Justice,Justice (Triple Chucks Deluxe / Deluxe Video Version)",https://geo.music.apple.com/ca/album/holy-feat-chance-the-rapper/1531508505?i=1531508507&app=music&at=11lt62&ct=tracklink,,
2 Much,Justin Bieber,Justice,https://geo.music.apple.com/ca/album/2-much/1556175419?i=1556175644&app=music&at=11lt62&ct=tracklink,2021-07-11 20.14.51.jpg (https://dl.airtable.com/.attachments/ff4f253b6a318a9fe8030a08d6a5e291/0950c56e/2021-07-1120.14.51.jpg),
As I Am (feat. Khalid),Justin Bieber,Justice,https://geo.music.apple.com/ca/album/as-i-am-feat-khalid/1556175419?i=1556175649&app=music&at=11lt62&ct=tracklink,2021-07-11 20.14.55.jpg (https://dl.airtable.com/.attachments/8763a302c9c46608463aa5bce95e7489/7b3048f7/2021-07-1120.14.55.jpg),
Deserve You,Justin Bieber,Justice,https://geo.music.apple.com/ca/album/deserve-you/1556175419?i=1556175647&app=music&at=11lt62&ct=tracklink,2021-07-11 20.14.59.jpg (https://dl.airtable.com/.attachments/bbe9186a0df8a44f441fa830891d23a4/4ec7302d/2021-07-1120.14.59.jpg),
Die For You (feat. Dominic Fike),Justin Bieber,Justice,https://geo.music.apple.com/ca/album/die-for-you-feat-dominic-fike/1556175419?i=1556175846&app=music&at=11lt62&ct=tracklink,2021-07-11 20.15.04.jpg (https://dl.airtable.com/.attachments/4566475f2ba04a0e9a55c0502d057947/95461bcb/2021-07-1120.15.04.jpg),
Hold On,Justin Bieber,Justice,https://geo.music.apple.com/ca/album/hold-on/1556175419?i=1556175852&app=music&at=11lt62&ct=tracklink,2021-07-11 20.15.07.jpg (https://dl.airtable.com/.attachments/752666e54d603872b7915a54a18aa367/e919c3dc/2021-07-1120.15.07.jpg),
Loved By You (feat. Burna Boy),Justin Bieber,Justice,https://geo.music.apple.com/ca/album/loved-by-you-feat-burna-boy/1556175419?i=1556176086&app=music&at=11lt62&ct=tracklink,2021-07-11 20.15.12.jpg (https://dl.airtable.com/.attachments/caa7a16acc6e14951a5cc1b8511f9c2e/5c655601/2021-07-1120.15.12.jpg),
MLK Interlude,Justin Bieber,Justice,https://geo.music.apple.com/ca/album/mlk-interlude/1556175419?i=1556175663&app=music&at=11lt62&ct=tracklink,2021-07-11 20.15.17.jpg (https://dl.airtable.com/.attachments/8df877935498be01675c613f0b5104c9/797498a3/2021-07-1120.15.17.jpg),
Off My Face,Justin Bieber,Justice,https://geo.music.apple.com/ca/album/off-my-face/1556175419?i=1556175655&app=music&at=11lt62&ct=tracklink,2021-07-11 20.15.23.jpg (https://dl.airtable.com/.attachments/3e51662366acd2c20b69b77a19926b7c/0bb3edab/2021-07-1120.15.23.jpg),
Somebody,Justin Bieber,Justice,https://geo.music.apple.com/ca/album/somebody/1556175419?i=1556175853&app=music&at=11lt62&ct=tracklink,2021-07-11 20.15.28.jpg (https://dl.airtable.com/.attachments/bf749ee51b0608dbb6c6f47ef58d0a35/ff2fc629/2021-07-1120.15.28.jpg),
